Predictor variable,Categorical,Sample average
bio1,false,167.2722222222222
bio10,false,260.55555555555554
bio11,false,77.71666666666667
bio12,false,205.76666666666668
bio13,false,35.49444444444445
bio14,false,2.688888888888889
bio15,false,63.75
bio16,false,98.01666666666667
bio17,false,11.96111111111111
bio18,false,20.216666666666665
bio19,false,88.02777777777777
bio2,false,158.61666666666667
bio3,false,43.58888888888889
bio4,false,7190.394444444444
bio5,false,364.44444444444446
bio6,false,2.5722222222222224
bio7,false,361.8722222222222
bio8,false,131.48333333333332
bio9,false,228.36666666666667
